MUNICIPIO,LATITUD,LONGITUD,Producción (t),Crecimiento 2022,% Act. primarias municipio,% Act. secundarias municipio,% Act. terciarias municipio,pobl. con pregrado municipio,Valor agregado 2022,% pobl. con pregrado municipio,Peso relativo municipal en el valor agregado departamental (%),Potencial de exportación
Municipio 832,84.79708199393775,-24.93217583840425,6503,22.94732344222013,85,86,-71,98,345174,50,62,No
Municipio 685,77.44004039204503,-62.18739052104591,6238,19.927339965324837,28,6,66,49,545879,79,15,No
Municipio 521,-14.808715033013101,90.68754261363699,472,39.44797992757263,29,75,-4,24,378487,48,62,No
Municipio 506,-69.34401974276247,-23.640603607136313,4450,14.637257828969425,99,75,-74,20,120578,38,91,No
Municipio 895,17.554264344924448,10.207448200101226,8996,46.19019893547508,53,8,39,8,444610,87,62,Sí
Municipio 224,-57.88613104657034,111.8240307563737,6541,4.563547063039658,58,81,-39,61,651137,64,84,No
Municipio 981,72.05821869147977,178.05115820803047,3719,14.356968108209694,91,70,-61,6,253671,10,68,No
Municipio 577,-8.965835474118151,86.62406588988239,2953,2.8955768912519444,7,40,53,37,386942,14,25,No
Municipio 374,-68.7319934292193,44.373538239805896,5528,7.249196134309405,78,29,-7,49,393347,91,19,No
Municipio 29,81.0124056130208,-98.15977384214254,8492,45.89685472745001,45,56,-1,44,871237,94,29,Sí
Municipio 103,46.25031966489644,-165.92854951927018,838,38.17374494262387,20,74,6,86,419239,12,99,No
Municipio 908,52.13781470879434,-134.02050466841354,3808,29.695548116018678,76,23,1,77,791885,7,89,No
Municipio 689,31.886204575707367,-177.09038976596452,6715,7.810658168385704,36,76,-12,87,999356,14,46,No
Municipio 734,-4.287926041964454,141.84386320253145,8726,2.221172343431843,17,47,36,44,140606,23,39,No
Municipio 601,4.954461124230605,87.78823016760657,4303,7.458820212586042,40,11,49,56,767961,96,65,No
Municipio 475,-72.00210821236833,123.08438104531064,4282,34.90476663867978,24,13,63,25,354696,42,12,Sí
Municipio 69,-52.218406784325246,-17.058665396393252,4202,21.749116307226203,90,72,-62,37,543693,7,35,No
Municipio 614,-78.57666143404384,29.294497873112164,4081,43.760014403911526,78,40,-18,3,288910,29,3,Sí
Municipio 360,43.48888308767974,-10.085244800593642,1827,30.902045453641502,94,11,-5,98,954313,62,18,No
Municipio 911,-74.48403080571293,160.50395939970883,8885,10.12851818593225,27,92,-19,79,932106,57,36,No
Municipio 232,-6.92249068620545,-47.51570906308177,1131,3.472314959306455,24,18,58,53,541507,8,96,No
Municipio 815,76.51251993051179,129.64135296166063,6509,7.047889368469301,65,19,16,17,110383,70,92,No
Municipio 773,-70.52920298435467,110.88206831881126,3696,26.00547199516078,50,75,-25,87,301880,43,97,No
Municipio 130,-81.45239429125063,-18.80663003282652,6751,47.14036758692323,17,95,-12,41,206519,22,95,Sí
Municipio 589,58.49536953972577,106.42321020271089,678,8.02381409592116,50,5,45,39,701386,88,67,No
Municipio 418,-55.26297334586333,-42.864569702720104,2318,38.910363398871475,61,33,6,47,386842,41,23,Sí
Municipio 639,55.576980825130846,111.01331419584972,6650,46.90976368592703,3,66,31,14,194598,72,90,Sí
Municipio 309,70.54712351344645,105.39513750758363,849,14.823362744287817,7,77,16,29,829496,42,90,No
Municipio 121,9.984093807956839,10.209090566603663,5443,26.579702792753796,80,15,5,88,119083,61,22,No
Municipio 713,-25.951581523153095,44.38322106751278,3823,11.422265760193746,75,53,-28,7,123084,82,7,No
Municipio 905,60.118351307261975,-161.19248653446783,4344,40.63960630622713,30,20,50,1,447257,46,94,Sí
Municipio 829,-63.88910520375545,168.1558351316272,6161,3.038012831304843,7,30,63,70,437456,9,34,No
Municipio 501,-40.14140829308061,57.01834793539422,6945,12.075684544750926,89,59,-48,60,448820,26,47,No
Municipio 242,17.6543747775019,-42.741059172693696,945,39.41454190018606,21,89,-10,33,624792,12,41,No
Municipio 466,19.266794124071197,136.68494695231715,601,21.81830859891823,0,56,44,85,250221,90,46,No
Municipio 35,-19.5906762592318,-135.99293761286123,2676,41.31675970133079,79,1,20,13,937372,13,53,Sí
Municipio 152,-17.53459184516464,-154.08472124829774,5832,0.5711899773518936,85,66,-51,19,564861,8,44,No
Municipio 154,-13.735639262562245,111.45834198986586,7341,9.495755029081282,70,4,26,61,531175,2,62,No
Municipio 299,-63.538388614483594,137.26443720417785,5650,38.19493580272889,30,43,27,64,878449,8,58,Sí
Municipio 987,-74.69480890611551,-70.82172129661856,8416,0.12972997242908235,24,34,42,15,442715,43,45,No
Municipio 553,56.12803077529412,96.87200048738168,2311,39.22215877358931,36,21,43,1,385005,88,48,Sí
Municipio 402,-29.47032872411431,152.22026374904624,4934,47.30400619912002,93,90,-83,53,542834,78,54,Sí
Municipio 598,-78.79159198528049,93.0000984517863,1423,33.84234384735057,74,80,-54,31,936496,97,20,No
Municipio 695,30.163489059974097,-18.28138772135921,7419,6.971025883748472,43,90,-33,27,634951,55,71,No
Municipio 348,32.10695139413106,-43.357865304901765,7974,13.135962206667395,28,29,43,12,328501,96,14,No
Municipio 76,-30.25825746189323,74.31802977886528,6552,29.120141732142418,30,51,19,34,987763,48,30,No
Municipio 292,6.671612461991387,-3.1853621324175663,6795,18.93953790115004,33,8,59,91,335895,53,88,No
Municipio 237,29.898346015316918,-94.50662131922725,1035,26.70940020012866,93,87,-80,37,219728,8,93,No
Municipio 926,24.101905746264052,-38.99700289971875,7198,0.08106282272881127,36,32,32,42,571566,26,11,No
Municipio 887,-79.15021616503617,-99.33953156330081,7607,36.33263644328177,18,71,11,66,470402,95,78,Sí
Municipio 814,-61.28060323659164,-62.56920394377657,5989,39.14329144615631,51,52,-3,41,781576,36,26,Sí
Municipio 838,14.632681279634483,147.5612512465675,3854,31.953805067886893,11,73,16,88,675714,95,79,No
Municipio 212,-12.104457516140926,-44.748174230159606,4341,13.516096788177833,37,64,-1,22,830231,28,70,No
Municipio 152,66.89917700708045,88.18435710548465,1545,40.952724120989274,90,11,-1,71,435613,98,74,No
Municipio 608,15.6473133349769,116.28721695334917,6625,15.212425250923511,12,38,50,80,898834,10,22,No
Municipio 64,28.051543886764307,147.17108881221526,1718,45.44840598197297,30,78,-8,29,658101,52,57,No
Municipio 863,82.20410917466032,161.04120489810344,3538,20.018678029565102,74,49,-23,8,626760,57,55,No
Municipio 915,-41.018962766209185,145.55047471504582,6008,10.453786875593895,60,83,-43,67,315457,91,19,No
Municipio 640,9.063983199318159,-58.67294596155857,8823,34.07971327269131,99,39,-38,59,483560,42,62,Sí
Municipio 400,43.05319082278078,19.354699992173465,7543,30.286530470152,88,96,-84,2,236718,65,33,No
Municipio 38,-5.909808913070947,23.04169215474434,5106,8.127736406910707,7,26,67,83,997311,94,7,No
Municipio 965,7.31277305876273,-140.91645578364086,3037,17.162969811762014,84,79,-63,80,813476,24,53,No
Municipio 440,-9.567765784574974,-178.8055813360126,1453,24.200232281806304,4,11,85,40,797386,17,99,No
Municipio 803,53.232343806306545,120.07098395849306,4113,7.626741385782065,93,39,-32,51,686650,6,56,No
Municipio 386,-34.63202290189632,66.98683549437743,6407,12.28633038086262,97,20,-17,84,364763,1,57,No
Municipio 344,-89.67737092593865,149.86801844403948,9988,1.4701983669226204,48,98,-46,86,339074,63,12,No
Municipio 788,-64.42410721811268,58.40228809325643,5264,3.8057284670540756,11,32,57,70,153931,56,5,No
Municipio 621,-7.091395361609344,-110.1120679998542,1837,48.26415694452126,7,76,17,2,743764,91,17,No
Municipio 781,-46.058805671679266,119.35670110103081,3719,4.925496572761428,35,94,-29,54,825259,47,65,No
Municipio 607,32.25908683834791,19.864791878046134,5661,28.646685354198432,32,26,42,28,108758,22,73,No
Municipio 406,13.033289938414924,-119.62256229727899,1727,3.5991276300834265,77,69,-46,6,615480,12,8,No
Municipio 877,2.561935048652657,-142.03052657752895,7669,6.431904107245023,31,93,-24,16,182132,23,99,No
Municipio 875,82.40032442812327,-161.85173672630728,1473,14.010053414242513,93,24,-17,80,650112,86,0,No
Municipio 677,23.7257357502953,-54.222670978567365,3266,0.02564129791660097,75,54,-29,26,649861,96,25,No
Municipio 39,38.21126102945371,41.827629792739714,6871,41.51752444292765,99,40,-39,91,699225,57,46,Sí
Municipio 914,-20.912998053478773,75.2790694041237,802,18.94154603498382,70,23,7,29,894233,63,42,No
Municipio 529,10.633717661092433,156.9258270257419,6060,36.90305464820424,95,51,-46,19,246980,24,92,Sí
Municipio 27,84.4642209740816,-160.04346578170885,7431,41.273058970957436,46,29,25,12,519227,91,94,Sí
Municipio 772,-56.76095326182458,108.105287359734,7710,9.539472266907906,90,15,-5,6,752056,71,75,No
Municipio 182,72.97050935634468,-122.3839962044425,5361,7.8075005680568745,96,77,-73,26,373226,69,94,No
Municipio 662,19.550872722174688,-85.04057927670732,6190,12.809923060968082,3,86,11,64,518663,97,48,No
Municipio 636,85.15385716626437,-73.7378953334125,2713,5.021443288821303,21,74,5,15,483247,22,34,No
Municipio 980,25.31178550139154,40.113316249136034,1820,5.406438594366697,54,56,-10,53,356740,92,66,No
Municipio 939,30.92617150330301,-99.03121580115771,2122,4.170056514448578,43,76,-19,55,305953,72,74,No
Municipio 127,-32.31659995146944,-13.854121600141639,3720,28.999812560365967,30,95,-25,19,353618,24,39,No
Municipio 667,29.36353782215886,97.56118084485149,4322,18.88992408965104,12,21,67,67,600272,85,14,No
Municipio 487,58.88690368372576,-29.63346889762758,5989,10.674311419995785,58,40,2,77,858248,87,82,No
Municipio 84,28.098007690140605,128.3084546207396,5164,14.025451588718541,42,7,51,49,869168,88,18,No
Municipio 430,17.69412557689006,-71.87815198163538,2418,8.489568458840669,34,95,-29,70,849619,67,10,No
Municipio 889,-46.8475982005578,-150.181146129127,4213,22.629912709694537,77,74,-51,96,230530,25,74,No
Municipio 81,44.648638834327016,76.55867775970921,3607,7.066246033646717,94,80,-74,50,277259,77,46,No
Municipio 846,-88.23442298002978,-165.4412326311082,5114,10.683489748238085,70,41,-11,14,151255,95,14,No
Municipio 447,-8.593540491947934,174.47029387709927,4312,15.913228895650661,61,51,-12,41,121380,96,32,No
Municipio 28,-29.268990464696117,-8.442003737518007,8949,25.22479916364765,94,62,-56,20,676606,85,57,No
Municipio 102,36.46182640690752,150.48497963230818,6766,46.87040630353355,41,45,14,68,311189,5,89,Sí
Municipio 559,25.756493308560792,76.83529672148313,8485,40.84900588552195,95,1,4,20,474982,30,87,Sí
Municipio 712,-17.888973866965614,162.58288208515575,1148,26.490019068884706,59,10,31,65,447408,88,44,No
Municipio 893,-78.55424253328975,-91.52822121474881,9378,33.31983680440685,25,67,8,91,556092,52,41,No
Municipio 865,-76.73133325640781,34.94431452040942,4033,37.4431286607429,63,45,-8,88,320713,23,39,Sí
Municipio 992,39.9233811584964,-34.78157883462109,3488,43.15175012810503,30,18,52,57,893268,93,99,Sí
Municipio 370,39.936558603976266,-132.99519845317195,9920,47.877156554668225,48,19,33,17,471280,14,7,Sí
Municipio 213,-41.23586982726561,165.32465748728794,3904,48.15671625316422,55,12,33,72,501479,29,58,Sí
Municipio 115,-64.70906272687347,81.85530707192811,1311,20.482060306225687,89,3,8,73,852338,50,80,No
Municipio 712,-82.30622938750736,-142.84292201385432,4396,12.315244581720346,71,82,-53,15,511541,64,28,No
Municipio 800,62.52368816067158,-22.44109183562017,1033,1.7664530864578865,10,36,54,48,310502,15,97,No
Municipio 580,65.62418870977871,-75.890224626562,6353,5.713215184675607,60,31,9,66,263689,31,28,No
Municipio 556,-26.99062276127183,-110.98199667931,1299,47.13830781061272,37,90,-27,60,668465,97,87,No
Municipio 261,42.477537010559246,21.23946864669523,4241,12.88992308988276,44,13,43,77,598084,19,71,No
Municipio 537,40.70015753139151,-121.50889088651294,2076,33.40238505451359,69,68,-37,94,937877,89,22,No
Municipio 76,-54.791686850959465,101.17907059536532,5863,12.578636549993933,70,36,-6,15,969628,17,23,No
Municipio 698,24.627265880260254,-122.5398807226723,4032,46.13927857537804,92,93,-85,27,755965,92,96,Sí
Municipio 989,13.461506862925063,113.53529217942435,2223,4.216117357356769,38,60,2,46,793647,43,51,No
Municipio 230,-23.70152854237824,-120.99267980009557,4007,32.80385044556517,65,27,8,11,238992,26,38,No
Municipio 135,48.543907302925646,142.35472966001907,1435,28.13575288706164,16,7,77,99,215363,40,84,No
Municipio 981,-15.913005684466214,140.69976164433461,9085,2.0571169138846934,4,72,24,88,181672,41,66,No
Municipio 344,-5.915633781439411,-43.71893247010803,1285,43.42996069155086,81,15,4,89,352299,40,8,No
Municipio 279,67.54296760463384,136.20574931628556,6795,49.219183449344975,22,48,30,38,105851,39,49,Sí
Municipio 82,-70.4007454366277,-152.0181433227849,5132,42.080254181913276,61,74,-35,92,562898,82,37,Sí
Municipio 799,74.327889805772,-39.27079016129568,3815,14.323769588223156,62,51,-13,82,930081,11,93,No
Municipio 883,62.766855734992276,173.60864260141744,1201,31.735963817622675,4,0,96,33,196150,97,66,No
Municipio 829,13.29870949067724,160.57316395637986,4077,13.234445437407299,7,32,61,13,304409,5,35,No
Municipio 486,-61.26652379203279,-68.90214859579066,9311,11.922067102075257,23,79,-2,33,390765,90,44,No
Municipio 264,3.032069893534043,87.96196582535299,3917,3.860814611668284,4,83,13,9,853485,9,56,No
Municipio 279,47.245212255703706,109.65845002340359,9910,49.74628299271501,29,60,11,49,740218,16,14,Sí
Municipio 63,16.179189168736713,67.20715604048502,9551,48.76449793089543,47,66,-13,23,830359,2,51,Sí
Municipio 789,-29.739723718859302,-130.07784374696354,352,19.88789060814742,21,92,-13,69,120488,68,9,No
Municipio 471,-43.22571606973109,32.75632536159779,1800,1.9545891903241075,60,47,-7,44,120841,37,56,No
Municipio 186,-15.91219883902204,138.7419195524012,2255,31.35260590908107,26,94,-20,27,115132,44,56,No
Municipio 542,-25.500627219911593,-65.69202260634063,3668,6.474052626737042,94,31,-25,2,879202,12,98,No
Municipio 953,48.96245935753524,-112.23882697110083,9947,25.24664231444583,41,4,55,23,353508,3,9,No
Municipio 992,74.74682696806565,-9.996037960767154,5953,39.94098563720813,9,59,32,34,448139,7,8,Sí
Municipio 641,33.562383009416706,-132.830610155737,658,42.45542246800407,64,49,-13,67,372185,41,82,No
Municipio 778,-67.45506648668461,-57.27517413894458,1050,9.74395698248095,68,95,-63,55,264738,14,0,No
Municipio 621,31.610675592972655,-103.32606031958161,2856,40.84720043191261,64,57,-21,10,848432,76,85,Sí
Municipio 111,-9.903986677778306,114.7896355792426,9313,4.993143484968366,61,6,33,27,514804,48,31,No
Municipio 713,-63.383368695860085,-81.96733343934646,4434,24.137204932513928,90,71,-61,35,918757,61,73,No
Municipio 96,-65.81040319956489,63.64158809718157,8264,46.22630696577356,11,86,3,6,845634,18,68,Sí
Municipio 559,85.62412764944804,175.45057675182187,8376,47.69168028210505,35,10,55,16,209996,56,92,Sí
Municipio 744,58.673493672476724,-140.4904725647359,7231,40.98423109463316,60,75,-35,78,988180,47,60,Sí
Municipio 271,84.17906179120598,61.559627619568715,7055,39.660487878940756,72,57,-29,54,106277,42,42,Sí
Municipio 627,-64.04676203552214,85.27834643351497,5856,5.942150517516332,93,94,-87,59,946289,73,73,No
Municipio 395,-72.79526664302372,179.5238391328977,2756,11.816429004771678,25,79,-4,58,728335,31,58,No
Municipio 310,79.86324650313611,110.93744490139375,3443,3.831745392287167,72,99,-71,61,276282,18,11,No
Municipio 743,-32.22853371408777,-83.64288880592962,635,39.7716130574649,30,48,22,42,919413,40,5,No
Municipio 213,11.146041544431156,-132.88336924002087,7497,3.5000368752404865,28,30,42,20,292844,61,93,No
Municipio 771,-30.783970941618534,-117.83740786948094,5999,28.230662053793814,17,58,25,96,679767,93,6,No
Municipio 523,34.48600906122941,38.555855935458766,2046,30.128554501833143,72,38,-10,6,708669,8,4,No
Municipio 160,71.60170252347118,-125.66393467091285,4075,21.9029271243106,27,5,68,71,575252,49,45,No
Municipio 779,8.123558438833967,-132.96121363719465,6430,14.222894068337672,19,40,41,9,161045,7,8,No
Municipio 387,-69.86496275718318,-96.07381743753277,6894,1.3008923038838993,61,10,29,12,702974,78,73,No
Municipio 737,-8.337973544895405,1.3957978913702789,9231,7.342098660627378,34,73,-7,71,509726,96,81,No
Municipio 65,-86.2888785100035,-39.29797300971549,5463,38.104385228201146,44,33,23,84,669316,26,67,Sí
Municipio 475,-65.75494136417902,-112.27580688491501,4071,12.133259764234833,7,70,23,0,300629,29,27,No
Municipio 393,56.20793565433959,-94.53639076190377,9856,5.342669743076867,61,36,3,23,506226,37,55,No
Municipio 415,-30.475742317519924,6.0302993664495546,6687,24.011918929143604,46,76,-22,30,422688,33,63,No
Municipio 779,-68.9640897369028,-30.612717843848003,6661,39.810665622698195,20,7,73,77,768080,29,21,Sí
Municipio 283,35.747800465971,70.73897015076076,886,37.617947806663274,9,32,59,95,486964,1,49,No
Municipio 298,51.34151055255478,-1.5166943820352117,264,47.576243782153874,86,21,-7,73,143346,37,2,No
Municipio 350,24.822360890073185,145.66121054825294,5775,44.05485884289803,0,78,22,15,371908,34,95,Sí
Municipio 856,5.7821135286496315,-138.0137167866199,6563,23.249995554243302,61,85,-46,66,170254,69,15,No
Municipio 102,66.39201128720299,-122.0210610666615,6069,48.61767357187023,18,94,-12,85,383896,6,9,Sí
Municipio 729,-49.53970226392549,178.03092895881645,2716,2.955189162886546,64,4,32,65,964129,59,91,No
Municipio 691,34.927823194393014,135.85810549479714,4333,11.435955700301825,89,61,-50,50,981881,85,31,No
Municipio 679,-83.59817220666012,160.11412793366634,7715,15.865099600219224,37,44,19,81,515167,53,34,No
Municipio 920,-55.070723652412795,-59.17971932109941,587,33.35420305869853,4,91,5,14,709671,1,91,No
Municipio 887,-52.9222030710212,122.96273149981005,6163,35.4197250037465,48,62,-10,2,790986,54,54,Sí
Municipio 301,63.89655535001768,-65.60869040637486,9758,27.3206862676242,63,69,-32,59,600702,30,70,No
Municipio 577,-89.50876411243924,-19.12621243363941,9896,43.195673979002144,51,75,-26,66,765236,59,74,Sí
Municipio 861,-40.42309465057519,-31.370015365536148,2812,16.4330437575384,97,74,-71,40,556184,6,7,No
Municipio 331,45.068452509715144,-93.97062381119561,1471,46.55582050837016,61,33,6,29,806806,53,39,No
Municipio 974,-9.948673163748907,66.7863477973213,3722,28.114304288104947,13,15,72,43,801219,63,68,No
Municipio 199,-9.391288520246704,125.93139538349806,5089,10.356648225724092,54,49,-3,9,269425,57,71,No
Municipio 747,29.86719892969134,-129.27261349485613,7109,22.283968835505586,85,74,-59,40,352378,12,93,No
Municipio 894,58.17060419090521,142.21781663602076,342,14.08652600159786,81,53,-34,76,190919,69,68,No
Municipio 963,29.374477481455997,-170.89453533610262,2444,15.311723730945637,16,28,56,65,596027,9,97,No
Municipio 998,-0.6158949738885156,-26.879739629394294,5947,10.786115263687417,71,50,-21,68,862886,99,95,No
Municipio 560,-3.375300131974427,-152.9400488869946,7297,19.984277785784254,69,29,2,76,619150,37,73,No
Municipio 971,-88.4845366079181,-105.18805577114895,5377,39.74407236058869,67,77,-44,65,586380,33,13,Sí
Municipio 526,-75.01389854687858,109.91612221656061,6176,46.769553276752916,75,70,-45,23,882961,31,56,Sí
Municipio 622,67.72336573143417,119.09128133696993,929,10.522573226016746,39,33,28,60,679317,72,63,No
Municipio 634,49.961809877750085,158.01217858294177,8897,12.810872716573247,98,19,-17,14,474904,42,50,No
Municipio 61,63.22116067040906,-45.77851285947011,8793,43.20664227593489,6,85,9,63,116689,63,65,Sí
Municipio 879,8.627615165231504,-32.16806006329756,5552,17.642258658491492,68,49,-17,43,127918,52,74,No
Municipio 340,-88.83565051285838,23.555818550805185,8798,25.207913255688847,27,4,69,83,954623,86,65,No
Municipio 278,38.555386957431864,-166.22912690831137,2006,33.96513353410444,73,87,-60,85,480116,55,41,No
Municipio 278,-17.50926811252681,60.709171548791204,9487,48.86532140976185,27,18,55,39,168582,76,33,Sí
Municipio 45,-15.515419149074646,-76.0468134877026,6382,37.63897531480781,94,4,2,34,649728,2,28,Sí
Municipio 198,33.71926284514235,-116.59820907221078,7053,48.495065274227265,31,0,69,45,461825,26,64,Sí
Municipio 994,-24.382972502273645,148.95597460716846,655,42.05120020571559,86,60,-46,59,451251,67,93,No
Municipio 204,-52.15859750800141,-178.47596608467646,663,2.3358623319061245,87,87,-74,87,507444,22,83,No
Municipio 655,56.05552665352201,45.41059767753288,8627,15.493869828121303,63,91,-54,18,907880,58,49,No
Municipio 175,-60.10258209847834,122.66620077793107,5484,14.626961378411208,55,98,-53,19,154997,51,27,No
Municipio 121,78.04146357020215,31.73532464159794,6632,15.513831298056434,9,47,44,63,324369,45,86,No
Municipio 712,68.76807389675281,21.44185450960694,9317,35.785867425682504,22,81,-3,9,736405,58,2,Sí
Municipio 438,75.67974965444503,130.7200902588287,4826,9.199708349865448,57,66,-23,14,386622,97,10,No
Municipio 835,43.94109560468098,-97.44570416958673,4554,7.064059229604775,17,6,77,48,578255,31,49,No
Municipio 890,-74.63662814865755,-59.922856513240646,9831,19.955130455395427,60,88,-48,79,751407,42,89,No
Municipio 426,-84.38509070243423,166.49628010274608,532,47.7986501675578,7,86,7,49,506438,38,46,No
Municipio 819,66.65052432089607,93.79993858713283,9566,34.85320295691564,83,52,-35,19,718767,39,83,Sí
Municipio 797,-34.5023094261216,-146.1118179200106,1512,23.856316593623045,25,83,-8,22,540348,65,70,No
Municipio 65,-16.510946147146996,86.22557130232815,5554,30.83713248158075,8,90,2,22,599826,13,87,No
Municipio 808,33.654360667495496,85.88767749814156,6444,0.8913948028611729,6,71,23,93,414808,41,86,No
Municipio 779,-2.5164534724112144,158.19300730214798,4275,34.21004873441751,90,79,-69,31,787660,51,3,Sí
Municipio 57,2.9885512502243756,-1.1668216520025112,8811,24.66208710435997,92,21,-13,42,749900,54,16,No
Municipio 7,19.153381703488918,-3.2944290046822857,5844,4.678828395428248,5,72,23,28,514254,43,83,No
Municipio 809,40.1826166131907,102.8135052565409,4283,10.648767552530924,57,14,29,53,184995,56,13,No
Municipio 661,-75.15680118672438,-55.6962395788843,1091,19.611230778280326,93,61,-54,64,190341,81,70,No
Municipio 713,-81.04652619940946,-62.0648607551028,2995,2.6795118679874994,29,75,-4,55,550675,22,96,No
Municipio 883,-79.02701980187737,-151.56428730602212,2863,19.145238601713803,94,95,-89,63,660996,86,12,No
Municipio 573,1.4637542785183797,-6.143923270518712,8081,1.8041578810567338,55,13,32,39,751990,31,24,No
Municipio 612,76.31108443212665,2.4307190123880105,2000,24.555812385902385,71,70,-41,91,693848,43,32,No
Municipio 386,64.88647052111509,127.33714223444224,7587,3.8473015097357957,60,28,12,82,129906,78,90,No
Municipio 116,-50.59754361523878,82.28344626595361,2986,1.3445277465725658,77,10,13,2,554102,38,84,No
Municipio 70,11.456153255793751,-169.66053227256222,2393,8.487117393483306,3,26,71,83,379058,91,94,No
Municipio 956,-31.6036114075932,-56.548547090128594,6176,35.693076921896875,73,35,-8,17,908423,6,82,Sí
Municipio 301,-76.34244533066692,-24.004229963612858,9812,2.660644377563126,99,22,-21,49,112112,73,61,No
Municipio 140,29.99933136834909,-153.73442520932034,7929,36.92531069496409,1,71,28,9,581152,21,98,Sí
Municipio 87,-28.70785629514267,-9.437620897203288,4454,39.65959175762103,84,41,-25,52,337714,58,53,Sí
Municipio 6,-40.34864247549992,16.73718547134729,6894,19.089923501090468,26,89,-15,10,190201,76,73,No
Municipio 330,74.7210313365942,155.3360322492324,6396,45.74296202956136,77,87,-64,61,462238,88,12,Sí
Municipio 286,-18.262504229749908,47.08627192787753,6853,0.15952858881023713,7,11,82,4,520411,75,68,No
Municipio 592,27.40634831635633,15.02721990005449,6602,13.504903193702999,36,65,-1,84,438987,61,53,No
Municipio 156,-50.84817187564232,53.96293564476633,9411,32.88613097998188,36,92,-28,10,250470,19,65,No
Municipio 811,2.654995461745571,145.10774679965698,4491,19.220040733862277,35,64,1,37,283404,45,88,No
Municipio 240,-29.755473000046933,-36.92389643176466,3450,7.0736748122468605,97,91,-88,51,115492,76,8,No
Municipio 90,20.602884491972276,-176.7421353556183,4854,5.396708074004403,97,61,-58,23,274943,58,92,No
Municipio 447,61.17019407689182,130.03097464523603,5752,10.64323329035959,11,26,63,54,715259,61,55,No
Municipio 175,-63.89406983142748,65.56597713977462,9669,26.892191105768156,8,84,8,13,104472,89,77,No
Municipio 319,-68.02227216829368,24.610033388755483,731,40.56031863008457,83,36,-19,2,347367,90,94,No
Municipio 982,42.61892473069054,84.37242326342272,6219,41.368073705043365,6,22,72,9,813018,85,63,Sí
Municipio 697,-67.79609537195135,-83.01492940962198,2432,17.635056928310977,34,81,-15,98,385320,74,0,No
Municipio 798,-49.532587233929036,95.20684237507453,2886,9.291919205502802,55,71,-26,43,967742,5,20,No
Municipio 375,11.39365917783013,-27.308719487882485,6120,39.018883918417686,19,8,73,30,383736,63,62,Sí
Municipio 181,-81.22263008956742,69.13742434470626,6264,37.78486015252424,79,90,-69,7,160687,41,81,Sí
Municipio 671,-54.66205713438097,97.93536753721315,2412,45.33159228050045,3,77,20,19,572280,0,52,Sí
Municipio 270,-46.27522156024507,-126.43490482254761,8751,3.9969236740104277,37,4,59,43,202013,73,36,No
Municipio 743,68.79971574443576,-30.49068812372454,7444,0.06616289084813709,33,62,5,72,387182,84,43,No
Municipio 857,-15.432764538678299,-94.83179352523103,184,7.781817625969034,14,67,19,2,154301,77,14,No
Municipio 599,-85.80508944640036,98.24081044995,3866,45.72903587200462,43,17,40,47,634800,9,10,Sí
Municipio 835,-23.07177484422617,150.7132463395344,7914,4.681790273091401,73,69,-42,55,107397,31,46,No
Municipio 983,30.081731970937128,-28.089431512450403,3975,28.455407385106778,15,36,49,17,384045,30,75,No
Municipio 802,4.039875526457649,8.820669964854261,7794,5.42014319935718,80,22,-2,86,440389,23,35,No
Municipio 426,17.154756306821,13.648558479517646,1450,1.2438221653930326,58,81,-39,78,544527,42,6,No
Municipio 438,60.14979692588156,-168.01646176009666,5232,32.25089251762365,24,34,42,26,545555,94,14,No
Municipio 793,-46.086865216348045,-49.265082267783384,1266,20.417039638255236,52,70,-22,65,189932,17,48,No
Municipio 532,-36.52165754649114,-140.82895690158898,1251,25.28025270281347,17,10,73,73,393199,81,96,No
Municipio 278,28.604604570553676,-15.376493334459184,5128,46.81018609583694,82,52,-34,50,360921,94,33,Sí
Municipio 762,-25.901163841744733,146.77655025995665,4195,12.393412927210385,6,77,17,32,293548,73,24,No
Municipio 710,-61.808610592257395,107.79198072223272,8011,24.42074631192198,81,7,12,53,230694,36,49,No
Municipio 50,57.16854415930544,156.37588036187725,8589,14.293940654580496,41,10,49,31,751174,33,27,No
Municipio 661,46.51901554426021,167.72052706864196,2870,14.290000525160856,51,34,15,27,386224,91,6,No
Municipio 448,-43.736632471005365,-134.5440606751777,4470,8.683538150987935,70,22,8,52,162247,33,78,No
Municipio 29,47.15609344177696,155.25103540358913,2579,8.168619848503534,15,58,27,22,853692,45,53,No
Municipio 32,48.500847429972254,57.519628922403314,7288,1.1504661978835207,88,51,-39,69,584675,0,25,No
Municipio 410,-56.48845882287126,27.70983599475278,9615,33.5141363602375,62,70,-32,44,738140,77,43,No
Municipio 503,15.711976466177006,-18.13718150486784,9846,13.450424785185383,72,58,-30,94,900463,52,54,No
Municipio 473,-57.87744994550179,-158.26652832885668,5132,25.485399742403743,34,60,6,76,826340,51,33,No
Municipio 686,47.37305853352734,-141.8408656606951,6159,10.802830886739766,61,89,-50,63,985843,6,75,No
Municipio 833,-57.89365484102804,84.42670310015097,6506,7.565279380332041,90,94,-84,69,431578,80,96,No
Municipio 109,-17.009857910330155,-68.71225906955931,5999,31.42189656731873,86,41,-27,72,231904,25,79,No
Municipio 619,33.48298833934979,-153.60162062412206,2364,49.86190401177115,46,90,-36,72,776200,21,42,Sí
